order_number;arrival;start;end;queue_time;preperation_time;stall;order
0;11:00:00;11:00:30;11:01:56;00:00:30;00:01:26;kebab2;beer/
1;11:00:30;11:01:17;11:02:03;00:00:47;00:00:46;kebab2;beer/still_water/
2;11:01:17;11:01:56;11:04:35;00:00:39;00:02:39;kebab2;beer/kebab/kebab_vegi/extra_fries/mayo/
3;11:01:33;11:02:03;11:03:30;00:00:30;00:01:27;kebab2;beer/coke/turkish_coffee/
4;11:02:00;11:03:30;11:07:12;00:01:30;00:03:42;kebab2;beer/kebab/kebab_vegi/garlic_sauce/
5;11:02:21;11:04:35;11:06:25;00:02:14;00:01:50;kebab2;beer/coke/still_water/kebab_vegi/durum/extra_fries/
6;11:02:48;11:06:25;11:07:11;00:03:37;00:00:46;kebab2;beer/still_water/turkish_coffee/kebab/durum/mayo/
7;11:03:32;11:07:11;11:08:19;00:03:39;00:01:08;kebab2;beer/kebab/extra_fries/garlic_sauce/
8;11:03:33;11:07:12;11:10:38;00:03:39;00:03:26;kebab2;still_water/
9;11:04:24;11:08:19;11:09:48;00:03:55;00:01:29;kebab2;beer/
10;11:05:01;11:09:48;11:10:56;00:04:47;00:01:08;kebab2;beer/coke/
11;11:05:47;11:10:38;11:11:50;00:04:51;00:01:12;kebab2;beer/coke/kebab/durum/extra_fries/ketchup/mayo/
12;11:06:17;11:10:56;11:12:03;00:04:39;00:01:07;kebab2;beer/turkish_coffee/kebab/extra_fries/mayo/
13;11:07:47;11:11:50;11:14:03;00:04:03;00:02:13;kebab2;beer/kebab/kebab_vegi/durum/ketchup/
14;11:08:27;11:12:03;11:12:56;00:03:36;00:00:53;kebab2;beer/
15;11:10:05;11:12:56;11:15:17;00:02:51;00:02:21;kebab2;coke/
16;11:10:59;11:14:03;11:15:44;00:03:04;00:01:41;kebab2;turkish_coffee/kebab/garlic_sauce/
17;11:11:24;11:15:17;11:16:18;00:03:53;00:01:01;kebab2;beer/sparkling_water/turkish_coffee/kebab/kebab_vegi/durum/
18;11:11:41;11:15:44;11:16:34;00:04:03;00:00:50;kebab2;beer/kebab/extra_fries/mayo/
19;11:12:19;11:16:18;11:16:33;00:03:59;00:00:15;kebab2;beer/coke/still_water/kebab/garlic_sauce/
20;11:12:34;11:16:33;11:17:26;00:03:59;00:00:53;kebab2;coke/kebab_vegi/extra_fries/ketchup/
21;11:12:54;11:16:34;11:18:54;00:03:40;00:02:20;kebab2;beer/kebab/
